	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/4/2011	 -0.13	  $            117,816	 1683	  $            (2,626)	  	  
4/5/2011	 -0.23	  $            115,190	 1646	  $            (4,542)	  	  
4/6/2011	 -0.12	  $            110,649	 1581	  $            (2,276)	  	  
4/7/2011	 0.04	  $            108,372	 1548	  $                  743	  	  
4/8/2011	 -0.16	  $            109,116	 1559	  $            (2,993)	  	  
 	  	  $            106,123	  	  	  $      (11,693)	 -10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/11/2011	 -0.30	  $            106,123	 1516	  $            (5,458)	  	  
4/12/2011	 0.19	  $            100,665	 1438	  $              3,279	  	  
4/13/2011	 0.07	  $            103,944	 1485	  $              1,247	  	  
4/14/2011	 -0.19	  $            105,191	 1503	  $            (3,426)	  	  
4/15/2011	 -0.05	  $            101,765	 1454	  $               (872)	  	  
 	  	  $            100,893	  	  	  $        (5,230)	 -5%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/18/2011	 0.86	  $            100,893	 1441	  $            14,874	  	  
4/19/2011	 0.35	  $            115,767	 1654	  $              6,946	  	  
4/20/2011	 0.10	  $            122,713	 1753	  $              2,104	  	  
4/21/2011	 -0.01	  $            124,817	 1783	  $               (214)	  	  
4/22/2011	  	  $            124,603	 1780	  $                       -	  	  
 	  	  $            124,603	  	  	  $        23,710	 24%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
4/25/2011	 0.19	  $            124,603	 1780	  $              4,058	  	  
4/26/2011	 -0.13	  $            128,661	 1838	  $            (2,867)	  	  
4/27/2011	 0.46	  $            125,794	 1797	  $              9,920	  	  
4/28/2011	 0.04	  $            135,714	 1939	  $                  931	  	  
4/29/2011	 0.02	  $            136,644	 1952	  $                  468	  	  
 	  	  $            137,113	  	  	  $        12,510	 10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/2/2011	 -0.31	  $            137,113	 1959	  $            (7,287)	  	  
5/3/2011	 -0.16	  $            129,826	 1855	  $            (3,561)	  	  
5/4/2011	 -0.17	  $            126,265	 1804	  $            (3,680)	  	  
5/5/2011	 -0.50	  $            122,585	 1751	  $         (10,507)	  	  
5/6/2011	 0.54	  $            112,078	 1601	  $            10,375	  	  
 	  	  $            122,453	  	  	  $      (14,659)	 -11%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/9/2011	 0.13	  $            122,453	 1749	  $              2,729	  	  
5/10/2011	 0.29	  $            125,182	 1788	  $              6,223	  	  
5/11/2011	 -0.17	  $            131,406	 1877	  $            (3,830)	  	  
5/12/2011	 0.54	  $            127,576	 1823	  $            11,810	  	  
5/13/2011	 -0.16	  $            139,386	 1991	  $            (3,823)	  	  
 	  	  $            135,563	  	  	  $        13,110	 11%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/16/2011	 0.82	  $            135,563	 1937	  $            19,056	  	  
5/17/2011	 0.53	  $            154,619	 2209	  $            14,048	  	  
5/18/2011	 -0.33	  $            168,667	 2410	  $            (9,542)	  	  
5/19/2011	 0.31	  $            159,126	 2273	  $              8,456	  	  
5/20/2011	 0.01	  $            167,582	 2394	  $                  287	  	  
 	  	  $            167,869	  	  	  $        32,306	 24%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/23/2011	 0.09	  $            167,869	 2398	  $              2,590	  	  
5/24/2011	 -0.21	  $            170,459	 2435	  $            (6,137)	  	  
5/25/2011	 -0.08	  $            164,323	 2347	  $            (2,254)	  	  
5/26/2011	 -0.34	  $            162,069	 2315	  $            (9,446)	  	  
5/27/2011	 -0.03	  $            152,623	 2180	  $               (785)	  	  
 	  	  $            151,838	  	  	  $      (16,031)	 -10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
5/30/2011	  	  $            151,838	 2169	  $                       -	  	  
5/31/2011	 0.53	  $            151,838	 2169	  $            13,796	  	  
6/1/2011	 -0.18	  $            165,634	 2366	  $            (5,111)	  	  
6/2/2011	 -0.03	  $            160,523	 2293	  $               (826)	  	  
6/3/2011	 0.51	  $            159,697	 2281	  $            13,962	  	  
 	  	  $            173,659	  	  	  $        21,821	 14%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
